White,Asian,Black,Mixed/ Other,Total,Code,Borough,Year,Delete ,Month_Number,Weekly_pay_parttime,Monthly_pay_parttime,weekly_pay_fulltime,Monthly_pay_fulltime,Employees_number,selfemployed_number,fulltime_work_number,parttime_work_number
"170,000","30,000","51,000","20,000","272,000",E09000011,Greenwich,2015,49,50,191.7,766.8,597.3,2389.2,"116,400","17,700","103,800","30,300"
"145,000","19,000","55,000","48,000","268,000",E09000012,Hackney,2015,49,50,150.4,601.6,602.1,2408.4,"106,900","26,600","101,000","31,500"
"119,000","15,000","23,000","23,000","180,000",E09000013,Hammersmith and Fulham,2015,49,50,171.3,685.2,686.3,2745.2,"79,800","17,900","80,700","17,300"
"164,000","21,000","46,000","36,000","267,000",E09000014,Haringey,2015,49,50,158.3,633.2,576.5,2306,"105,000","31,300","102,500","33,800"
"103,000","106,000","13,000","23,000","245,000",E09000015,Harrow,2015,49,50,171.1,684.4,626.9,2507.6,"96,100","20,000","90,100","25,700"
"217,000","13,000","11,000","7,000","248,000",E09000016,Havering,2015,49,50,188.7,754.8,624.7,2498.8,"101,700","16,200","93,200","24,900"
"159,000","74,000","36,000","24,000","293,000",E09000017,Hillingdon,2015,49,50,172.8,691.2,603.6,2414.4,"124,800","19,100","107,800","36,300"
"128,000","92,000","20,000","23,000","264,000",E09000018,Hounslow,2015,49,50,158,632,560.6,2242.4,"105,000","28,800","109,200","24,400"
"151,000","22,000","21,000","30,000","225,000",E09000019,Islington,2015,49,50,178.1,712.4,670.8,2683.2,"101,600","20,300","101,000","21,000"
"104,000","12,000","15,000","25,000","156,000",E09000020,Kensington and Chelsea,2015,49,50,171.9,687.6,771.4,3085.6,"55,400","17,900","60,500","13,300"
"130,000","20,000","2,000","16,000","169,000",E09000021,Kingston upon Thames,2015,49,50,180.5,722,710.2,2840.8,"69,600","14,900","62,600","22,300"
"199,000","13,000","71,000","33,000","316,000",E09000022,Lambeth,2015,49,50,156.2,624.8,616.5,2466,"157,200","30,200","152,000","35,400"
"161,000","31,000","77,000","24,000","293,000",E09000023,Lewisham,2015,49,50,188.1,752.4,606.6,2426.4,"135,500","21,400","123,100","33,800"
"134,000","31,000","24,000","15,000","204,000",E09000024,Merton,2015,49,50,153.8,615.2,619.6,2478.4,"85,800","21,100","86,300","20,200"
"107,000","128,000","60,000","40,000","335,000",E09000025,Newham,2015,49,50,155.9,623.6,505.8,2023.2,"125,400","27,700","117,700","35,700"
"123,000","140,000","19,000","15,000","296,000",E09000026,Redbridge,2015,49,50,174.5,698,653.7,2614.8,"107,900","23,000","101,200","30,300"
"166,000","11,000","3,000","12,000","191,000",E09000027,Richmond upon Thames,2015,49,50,207,828,743.9,2975.6,"78,800","19,200","73,300","24,200"
"165,000","22,000","81,000","37,000","306,000",E09000028,Southwark,2015,49,50,174.2,696.8,642.4,2569.6,"139,200","26,200","130,900","35,700"
"152,000","27,000","10,000","10,000","198,000",E09000029,Sutton,2015,49,50,193.1,772.4,605.6,2422.4,"84,100","17,000","80,400","20,400"
"109,000","132,000","28,000","22,000","291,000",E09000030,Tower Hamlets,2015,49,50,154.3,617.2,634.7,2538.8,"139,100","13,300","118,800","33,600"
"140,000","61,000","46,000","20,000","268,000",E09000031,Waltham Forest,2015,49,50,174.2,696.8,546.9,2187.6,"108,400","26,200","108,000","26,600"
"233,000","38,000","24,000","22,000","316,000",E09000032,Wandsworth,2015,49,50,211.6,846.4,719.7,2878.8,"147,800","30,100","148,400","29,400"
"132,000","27,000","26,000","48,000","233,000",E09000033,Westminster,2015,49,50,146.6,586.4,766.5,3066,"91,500","21,600","93,000","19,900"
-,-,-,-,"8,000",E09000001,City of London,2015,50,51,186.3,745.2,#,#VALUE!,#,!,#,!
"95,000","41,000","52,000","14,000","202,000",E09000002,Barking and Dagenham,2015,50,51,152.3,609.2,534.1,2136.4,"67,600","16,100","64,200","19,800"
"247,000","54,000","29,000","43,000","373,000",E09000003,Barnet,2015,50,51,169.9,679.6,628.5,2514,"131,500","36,500","122,000","43,700"
"195,000","15,000","23,000","7,000","240,000",E09000004,Bexley,2015,50,51,179.8,719.2,609,2436,"101,300","13,300","90,600","24,000"
"108,000","108,000","55,000","50,000","321,000",E09000005,Brent,2015,50,51,162.5,650,553.2,2212.8,"128,800","23,500","114,200","38,100"
"259,000","16,000","31,000","17,000","323,000",E09000006,Bromley,2015,50,51,192.4,769.6,682.1,2728.4,"131,100","20,800","117,800","34,500"
"158,000","27,000","25,000","30,000","240,000",E09000007,Camden,2015,50,51,166.3,665.2,726.4,2905.6,"90,100","28,300","92,500","25,300"
"221,000","61,000","66,000","29,000","377,000",E09000008,Croydon,2015,50,51,178.1,712.4,602.1,2408.4,"156,000","27,000","145,200","39,400"
"160,000","102,000","37,000","41,000","339,000",E09000009,Ealing,2015,50,51,157.6,630.4,561.5,2246,"125,200","38,300","124,700","38,700"
"192,000","31,000","66,000","33,000","321,000",E09000010,Enfield,2015,50,51,183.5,734,565.9,2263.6,"118,800","34,800","109,000","41,400"
"170,000","30,000","51,000","20,000","272,000",E09000011,Greenwich,2015,50,51,191.7,766.8,597.3,2389.2,"116,400","17,700","103,800","30,300"
"145,000","19,000","55,000","48,000","268,000",E09000012,Hackney,2015,50,51,150.4,601.6,602.1,2408.4,"106,900","26,600","101,000","31,500"
"119,000","15,000","23,000","23,000","180,000",E09000013,Hammersmith and Fulham,2015,50,51,171.3,685.2,686.3,2745.2,"79,800","17,900","80,700","17,300"
"164,000","21,000","46,000","36,000","267,000",E09000014,Haringey,2015,50,51,158.3,633.2,576.5,2306,"105,000","31,300","102,500","33,800"
"103,000","106,000","13,000","23,000","245,000",E09000015,Harrow,2015,50,51,171.1,684.4,626.9,2507.6,"96,100","20,000","90,100","25,700"
"217,000","13,000","11,000","7,000","248,000",E09000016,Havering,2015,50,51,188.7,754.8,624.7,2498.8,"101,700","16,200","93,200","24,900"
"159,000","74,000","36,000","24,000","293,000",E09000017,Hillingdon,2015,50,51,172.8,691.2,603.6,2414.4,"124,800","19,100","107,800","36,300"
"128,000","92,000","20,000","23,000","264,000",E09000018,Hounslow,2015,50,51,158,632,560.6,2242.4,"105,000","28,800","109,200","24,400"
"151,000","22,000","21,000","30,000","225,000",E09000019,Islington,2015,50,51,178.1,712.4,670.8,2683.2,"101,600","20,300","101,000","21,000"
"104,000","12,000","15,000","25,000","156,000",E09000020,Kensington and Chelsea,2015,50,51,171.9,687.6,771.4,3085.6,"55,400","17,900","60,500","13,300"
"130,000","20,000","2,000","16,000","169,000",E09000021,Kingston upon Thames,2015,50,51,180.5,722,710.2,2840.8,"69,600","14,900","62,600","22,300"
"199,000","13,000","71,000","33,000","316,000",E09000022,Lambeth,2015,50,51,156.2,624.8,616.5,2466,"157,200","30,200","152,000","35,400"
"161,000","31,000","77,000","24,000","293,000",E09000023,Lewisham,2015,50,51,188.1,752.4,606.6,2426.4,"135,500","21,400","123,100","33,800"
"134,000","31,000","24,000","15,000","204,000",E09000024,Merton,2015,50,51,153.8,615.2,619.6,2478.4,"85,800","21,100","86,300","20,200"
"107,000","128,000","60,000","40,000","335,000",E09000025,Newham,2015,50,51,155.9,623.6,505.8,2023.2,"125,400","27,700","117,700","35,700"
"123,000","140,000","19,000","15,000","296,000",E09000026,Redbridge,2015,50,51,174.5,698,653.7,2614.8,"107,900","23,000","101,200","30,300"
"166,000","11,000","3,000","12,000","191,000",E09000027,Richmond upon Thames,2015,50,51,207,828,743.9,2975.6,"78,800","19,200","73,300","24,200"
"165,000","22,000","81,000","37,000","306,000",E09000028,Southwark,2015,50,51,174.2,696.8,642.4,2569.6,"139,200","26,200","130,900","35,700"
"152,000","27,000","10,000","10,000","198,000",E09000029,Sutton,2015,50,51,193.1,772.4,605.6,2422.4,"84,100","17,000","80,400","20,400"
"109,000","132,000","28,000","22,000","291,000",E09000030,Tower Hamlets,2015,50,51,154.3,617.2,634.7,2538.8,"139,100","13,300","118,800","33,600"
"140,000","61,000","46,000","20,000","268,000",E09000031,Waltham Forest,2015,50,51,174.2,696.8,546.9,2187.6,"108,400","26,200","108,000","26,600"
"233,000","38,000","24,000","22,000","316,000",E09000032,Wandsworth,2015,50,51,211.6,846.4,719.7,2878.8,"147,800","30,100","148,400","29,400"
"132,000","27,000","26,000","48,000","233,000",E09000033,Westminster,2015,50,51,146.6,586.4,766.5,3066,"91,500","21,600","93,000","19,900"
-,-,-,-,"8,000",E09000001,City of London,2015,51,52,186.3,745.2,#,#VALUE!,#,!,#,!
"95,000","41,000","52,000","14,000","202,000",E09000002,Barking and Dagenham,2015,51,52,152.3,609.2,534.1,2136.4,"67,600","16,100","64,200","19,800"
"247,000","54,000","29,000","43,000","373,000",E09000003,Barnet,2015,51,52,169.9,679.6,628.5,2514,"131,500","36,500","122,000","43,700"
"195,000","15,000","23,000","7,000","240,000",E09000004,Bexley,2015,51,52,179.8,719.2,609,2436,"101,300","13,300","90,600","24,000"
"108,000","108,000","55,000","50,000","321,000",E09000005,Brent,2015,51,52,162.5,650,553.2,2212.8,"128,800","23,500","114,200","38,100"
"259,000","16,000","31,000","17,000","323,000",E09000006,Bromley,2015,51,52,192.4,769.6,682.1,2728.4,"131,100","20,800","117,800","34,500"
"158,000","27,000","25,000","30,000","240,000",E09000007,Camden,2015,51,52,166.3,665.2,726.4,2905.6,"90,100","28,300","92,500","25,300"
"221,000","61,000","66,000","29,000","377,000",E09000008,Croydon,2015,51,52,178.1,712.4,602.1,2408.4,"156,000","27,000","145,200","39,400"
"160,000","102,000","37,000","41,000","339,000",E09000009,Ealing,2015,51,52,157.6,630.4,561.5,2246,"125,200","38,300","124,700","38,700"
"192,000","31,000","66,000","33,000","321,000",E09000010,Enfield,2015,51,52,183.5,734,565.9,2263.6,"118,800","34,800","109,000","41,400"
